t,p
1.954880e+00,3.009640e-02
1.998374e+00,1.568178e-01
2.075529e+00,-2.502761e-03
2.105060e+00,-8.418968e-02
2.208561e+00,2.164365e-02
2.236518e+00,5.402300e-02
2.301995e+00,-6.882002e-02
2.417353e+00,-1.467720e-01
2.482173e+00,-1.262406e-01
2.589850e+00,7.636064e-02
2.728824e+00,-6.008812e-02
2.735746e+00,-7.113992e-04
2.830949e+00,3.371257e-02
2.947079e+00,7.345381e-02
3.051985e+00,-1.771945e-02
3.131588e+00,6.286533e-02
3.233158e+00,-7.045323e-02
3.368354e+00,-1.867594e-02
3.472475e+00,-8.200556e-02
3.532792e+00,1.257071e-01
3.682154e+00,1.492461e-02
3.806864e+00,-5.296448e-02
3.890352e+00,-1.538628e-02
4.068927e+00,-1.826616e-03
4.157039e+00,8.733147e-02
4.369534e+00,-1.327577e-01
4.478751e+00,-7.843701e-02
4.620721e+00,-1.419157e-02
4.740740e+00,2.664941e-01
4.918253e+00,1.156452e-01
4.987997e+00,1.325527e-02
5.194465e+00,9.388882e-02
5.442338e+00,2.245508e-01
5.487017e+00,4.383142e-03
5.831547e+00,-6.683515e-03
5.873680e+00,1.454479e-01
6.214116e+00,7.812981e-02
6.319089e+00,9.581204e-02
6.628948e+00,-1.604609e-02
6.803248e+00,2.190108e-01
6.913800e+00,1.988275e-01
7.334523e+00,9.075800e-02
7.588649e+00,1.034705e-01
7.723893e+00,-1.568118e-01
7.960688e+00,1.010677e-01
8.230274e+00,2.237963e-02
8.433066e+00,8.396596e-02
8.884998e+00,1.103115e-01
9.031670e+00,1.250767e-02
9.371596e+00,-1.158670e-01
9.609290e+00,8.331025e-02
9.939801e+00,-2.200942e-02
1.020080e+01,1.905405e-02
1.079536e+01,-4.517461e-03
1.099797e+01,2.194202e-02
1.148127e+01,-1.650425e-01
1.174859e+01,1.759512e-01
1.205057e+01,8.480220e-02
1.248918e+01,1.695512e-01
1.286890e+01,2.549974e-01
1.336311e+01,6.903150e-02
1.374955e+01,-1.047279e-01
1.420986e+01,-1.506577e-02
1.452306e+01,-4.366152e-02
1.508130e+01,2.714575e-02
1.594895e+01,8.718344e-02
1.610567e+01,-1.124195e-01
1.657148e+01,1.154634e-01
1.734503e+01,-5.907833e-02
1.809850e+01,1.187339e-01
1.818210e+01,7.997130e-02
1.900408e+01,6.444052e-02
1.954605e+01,9.006141e-02
1.996716e+01,4.732561e-02
2.112305e+01,4.590673e-02
2.165540e+01,-5.444661e-02
2.238461e+01,1.082713e-01
2.293429e+01,2.911501e-01
2.396223e+01,3.090638e-01
2.451035e+01,2.483528e-01
2.540948e+01,1.936181e-01
2.599791e+01,6.345224e-02
2.682087e+01,2.714866e-01
2.838875e+01,1.346431e-01
2.880146e+01,1.355899e-01
2.997410e+01,1.200890e-01
3.085808e+01,1.612582e-01
3.174306e+01,1.147677e-01
3.276083e+01,1.533217e-01
3.420642e+01,6.406763e-02
3.500984e+01,1.367040e-01
3.620814e+01,3.980669e-01
3.745585e+01,1.779939e-01
3.911473e+01,1.697559e-01
4.020212e+01,2.490827e-01
4.139874e+01,2.718959e-01
4.236528e+01,1.009984e-01
4.340785e+01,1.932381e-01
4.584793e+01,3.132683e-01
4.735618e+01,2.581462e-01
4.838662e+01,2.488686e-01
5.030028e+01,3.958797e-01
5.206667e+01,1.893341e-01
5.379651e+01,2.706004e-01
5.560552e+01,2.211368e-01
5.666781e+01,4.196000e-01
5.964530e+01,1.021413e-01
5.997848e+01,2.269411e-01
6.321383e+01,2.556820e-01
6.505155e+01,3.788949e-01
6.742702e+01,3.843619e-01
7.031226e+01,4.735878e-01
7.233765e+01,1.972447e-01
7.283436e+01,4.233679e-01
7.482486e+01,3.323894e-01
7.916376e+01,3.165111e-01
8.032293e+01,4.378076e-01
8.375774e+01,3.132917e-01
8.721278e+01,2.178121e-01
8.793544e+01,3.853896e-01
9.040602e+01,2.884195e-01
9.552280e+01,3.935008e-01
9.844483e+01,5.049300e-01
1.013826e+02,5.123958e-01
1.049882e+02,6.515478e-01
1.074882e+02,4.908973e-01
1.103092e+02,3.750904e-01
1.154088e+02,4.727409e-01
1.182641e+02,4.698928e-01
1.213460e+02,4.550554e-01
1.279420e+02,6.434828e-01
1.314086e+02,5.549434e-01
1.363232e+02,4.484763e-01
1.389023e+02,7.170855e-01
1.439073e+02,6.612149e-01
1.481292e+02,7.248225e-01
1.531431e+02,7.224667e-01
1.598143e+02,8.017716e-01
1.634947e+02,7.605445e-01
1.707106e+02,9.069650e-01
1.762700e+02,8.529175e-01
1.848816e+02,8.860797e-01
1.850221e+02,8.887047e-01
1.951786e+02,7.517713e-01
1.996754e+02,8.951524e-01
2.063605e+02,9.141469e-01
2.101835e+02,9.750769e-01
2.191441e+02,8.615212e-01
2.289582e+02,1.189713e+00
2.345762e+02,1.065554e+00
2.426358e+02,9.714869e-01
2.496800e+02,9.517565e-01
2.614709e+02,1.136762e+00
2.669829e+02,1.177244e+00
2.699871e+02,1.128914e+00
2.829090e+02,1.257722e+00
2.885926e+02,1.209590e+00
2.943736e+02,1.347269e+00
3.120923e+02,1.292945e+00
3.281520e+02,1.420164e+00
3.347132e+02,1.542789e+00
3.416256e+02,1.722265e+00
3.535961e+02,1.421928e+00
3.725367e+02,1.544022e+00
3.811358e+02,1.539182e+00
3.931938e+02,1.739271e+00
4.056651e+02,1.597879e+00
4.193131e+02,1.710323e+00
4.362516e+02,1.813845e+00
4.494321e+02,1.768449e+00
4.626357e+02,1.816152e+00
4.720127e+02,1.894448e+00
4.948214e+02,1.815249e+00
5.051586e+02,1.912398e+00
5.307149e+02,2.096215e+00
5.357251e+02,2.166392e+00
5.593393e+02,2.209918e+00
5.783716e+02,2.117487e+00
5.897603e+02,2.279036e+00
6.272234e+02,2.516330e+00
6.461193e+02,2.549755e+00
6.549982e+02,2.515413e+00
6.845421e+02,2.524432e+00
7.042712e+02,2.727815e+00
7.066315e+02,2.618033e+00
7.501959e+02,2.684446e+00
7.724226e+02,2.782240e+00
7.988155e+02,3.069962e+00
8.157807e+02,2.997301e+00
8.490666e+02,3.175352e+00
8.776257e+02,3.091238e+00
9.183712e+02,3.330213e+00
9.406514e+02,3.236964e+00
9.682572e+02,3.347274e+00
1.014855e+03,3.711324e+00
1.027213e+03,3.574792e+00
1.062529e+03,3.532707e+00
1.082302e+03,3.616712e+00
1.154825e+03,3.813650e+00
1.185685e+03,3.963814e+00
1.223929e+03,3.878532e+00
1.260967e+03,3.831730e+00
1.295238e+03,4.040781e+00
1.338988e+03,4.151277e+00
1.376590e+03,4.230651e+00
1.422307e+03,4.429194e+00
1.472515e+03,4.420939e+00
1.542235e+03,4.586418e+00
1.578090e+03,4.461060e+00
1.620113e+03,4.719179e+00
1.664752e+03,4.905223e+00
1.718314e+03,4.859421e+00
1.813264e+03,4.945332e+00
1.852919e+03,4.991644e+00
1.905475e+03,5.219244e+00
1.960001e+03,5.028113e+00
2.009311e+03,5.170738e+00
2.096034e+03,5.329692e+00
2.184357e+03,5.460409e+00
2.228467e+03,5.394295e+00
2.305072e+03,5.548589e+00
2.380656e+03,5.569845e+00
2.466422e+03,5.691896e+00
2.505660e+03,5.705875e+00
2.621769e+03,5.712659e+00
2.691459e+03,5.882017e+00
2.826555e+03,6.077663e+00
2.872836e+03,5.936774e+00
3.005671e+03,6.105056e+00
3.132532e+03,6.281788e+00
3.178213e+03,6.144692e+00
3.273127e+03,6.324571e+00
3.406202e+03,6.287039e+00
3.511123e+03,6.556632e+00
3.591524e+03,6.714502e+00
3.761466e+03,6.773324e+00
3.943252e+03,6.645358e+00
3.983983e+03,6.754972e+00
4.116564e+03,6.751919e+00
4.216906e+03,6.792872e+00
4.412586e+03,7.005634e+00
4.488691e+03,6.758080e+00
4.641863e+03,7.039610e+00
4.905401e+03,7.018538e+00
4.960303e+03,7.174184e+00
5.221749e+03,7.130019e+00
5.415736e+03,7.096661e+00
5.525161e+03,7.214792e+00
5.722195e+03,7.306035e+00
5.989737e+03,7.294918e+00
6.058886e+03,7.352973e+00
6.233314e+03,7.289325e+00
6.390294e+03,7.162535e+00
6.688820e+03,7.506428e+00
7.004162e+03,7.536551e+00
7.197242e+03,7.511847e+00
7.297716e+03,7.517822e+00
7.542862e+03,7.644523e+00
7.816155e+03,7.535014e+00
8.134204e+03,7.548735e+00
8.360206e+03,7.623402e+00
8.668844e+03,7.788225e+00
8.959666e+03,7.569280e+00
9.199910e+03,7.839618e+00
9.524731e+03,7.693011e+00
9.859895e+03,7.675919e+00
1.015410e+04,7.926761e+00
1.054601e+04,7.825265e+00
1.103573e+04,7.744593e+00
1.125720e+04,7.849385e+00
1.156567e+04,7.993235e+00
1.174521e+04,8.029945e+00
1.237468e+04,7.911006e+00
1.249515e+04,7.998159e+00
1.297118e+04,8.054171e+00
1.369137e+04,7.960031e+00
1.411924e+04,8.076659e+00
1.446143e+04,8.055061e+00
1.471170e+04,8.017971e+00
1.539061e+04,8.051176e+00
1.584726e+04,8.124032e+00
1.657489e+04,8.148723e+00
1.738704e+04,8.121802e+00
1.760613e+04,8.142622e+00
1.800848e+04,8.304929e+00
1.852782e+04,8.236406e+00
1.934097e+04,8.326892e+00
1.995073e+04,8.376547e+00
2.041090e+04,8.330939e+00
2.133824e+04,8.519640e+00
2.176891e+04,8.233503e+00
2.297743e+04,8.422445e+00
2.371812e+04,8.332494e+00
2.449959e+04,8.561027e+00
2.492389e+04,8.556109e+00
2.598618e+04,8.228125e+00
2.666983e+04,8.338204e+00
2.747457e+04,8.512236e+00
2.838736e+04,8.543117e+00
2.904609e+04,8.551145e+00
2.995504e+04,8.490496e+00
3.161043e+04,8.571740e+00
3.233617e+04,8.603300e+00
3.352602e+04,8.553439e+00
3.488648e+04,8.681556e+00
3.509040e+04,8.368347e+00
3.657205e+04,8.670109e+00
3.812009e+04,8.532138e+00
3.945008e+04,8.742982e+00
4.044010e+04,8.641911e+00
4.233390e+04,8.603625e+00
4.337554e+04,8.738155e+00
4.418424e+04,8.624202e+00
4.575485e+04,8.643070e+00
4.805022e+04,8.606363e+00
4.945958e+04,8.770095e+00
4.992747e+04,8.825659e+00
5.320159e+04,8.910313e+00
5.454696e+04,8.811287e+00
5.673856e+04,8.947250e+00
5.762761e+04,8.856208e+00
5.956419e+04,8.863299e+00
6.102273e+04,8.940572e+00
6.528624e+04,9.023016e+00
6.568209e+04,8.891383e+00
6.899493e+04,8.926763e+00
6.973369e+04,8.940621e+00
7.258153e+04,8.985015e+00
7.364198e+04,8.898041e+00
7.700311e+04,9.107313e+00
8.057834e+04,8.993716e+00
8.144061e+04,9.082799e+00
8.601237e+04,8.987379e+00
8.819997e+04,9.114723e+00
8.988131e+04,9.127566e+00
9.330975e+04,9.069335e+00
9.640314e+04,9.321663e+00
9.995225e+04,9.181989e+00
1.027402e+05,9.331978e+00
1.058052e+05,9.268697e+00
1.098202e+05,9.132588e+00
1.126271e+05,9.172599e+00
1.160189e+05,9.267433e+00
1.212591e+05,9.254994e+00
1.263572e+05,9.276369e+00
1.274918e+05,9.249119e+00
1.336253e+05,9.127986e+00
1.371317e+05,9.294808e+00
1.411736e+05,9.118919e+00
1.483907e+05,9.396083e+00
1.512334e+05,9.300718e+00
1.592501e+05,9.330962e+00
1.608881e+05,9.384394e+00
1.680332e+05,9.456181e+00
1.725084e+05,9.307158e+00
1.772516e+05,9.292020e+00
1.854367e+05,9.383742e+00
1.901390e+05,9.304177e+00
1.978030e+05,9.431043e+00
2.029992e+05,9.692291e+00
2.075537e+05,9.450395e+00
2.163898e+05,9.639841e+00
2.238041e+05,9.465357e+00
2.331583e+05,9.651285e+00
2.364975e+05,9.600210e+00
2.462882e+05,9.650639e+00
2.502548e+05,9.720882e+00
2.644291e+05,9.869889e+00
2.685571e+05,9.729581e+00
2.754143e+05,9.738637e+00
2.892614e+05,9.664758e+00
3.021034e+05,9.842978e+00
3.041763e+05,9.767647e+00
3.154564e+05,9.895442e+00
3.268657e+05,9.834935e+00
3.363084e+05,1.002613e+01
3.524064e+05,9.699151e+00
3.597981e+05,9.875803e+00
3.718815e+05,1.001166e+01
3.889159e+05,9.924422e+00
3.964917e+05,9.895215e+00
4.141878e+05,9.977066e+00
4.219898e+05,9.883031e+00
4.347901e+05,1.004862e+01
4.463288e+05,1.029142e+01
4.776660e+05,1.021643e+01
4.830291e+05,1.000773e+01
5.015594e+05,1.005813e+01
5.166027e+05,1.012594e+01
5.344939e+05,1.028706e+01
5.514001e+05,1.013508e+01
5.797454e+05,1.018604e+01
5.819414e+05,1.034047e+01
5.979893e+05,1.035995e+01
6.208179e+05,1.026979e+01
6.391435e+05,1.022111e+01
6.734471e+05,1.022074e+01
6.959804e+05,1.032946e+01
7.065134e+05,1.019381e+01
7.266229e+05,1.050316e+01
7.579365e+05,1.040467e+01
7.893710e+05,1.054456e+01
7.960340e+05,1.068501e+01
8.419430e+05,1.066445e+01
8.561644e+05,1.045471e+01
9.024154e+05,1.069292e+01
9.131037e+05,1.073055e+01
9.502230e+05,1.058095e+01
9.698353e+05,1.057821e+01
1.006699e+06,1.069158e+01
1.063613e+06,1.059494e+01
1.092451e+06,1.091401e+01
1.114984e+06,1.055836e+01
1.146284e+06,1.070742e+01
1.172171e+06,1.080787e+01
1.228175e+06,1.085209e+01
1.272816e+06,1.092147e+01
1.313799e+06,1.095924e+01
1.356670e+06,1.094143e+01
1.387249e+06,1.109049e+01
1.447310e+06,1.081315e+01
1.495076e+06,1.104782e+01
1.563928e+06,1.101969e+01
1.624112e+06,1.113484e+01
1.645165e+06,1.115495e+01
1.688727e+06,1.107006e+01
1.755832e+06,1.113088e+01
1.803833e+06,1.129359e+01
1.860448e+06,1.127898e+01
1.934050e+06,1.121549e+01
1.978470e+06,1.149831e+01
2.075984e+06,1.156820e+01
2.129296e+06,1.122868e+01
2.206503e+06,1.143107e+01
2.269223e+06,1.167014e+01
2.331220e+06,1.152860e+01
2.402398e+06,1.150263e+01
2.498087e+06,1.149790e+01
2.572106e+06,1.149298e+01
2.676413e+06,1.156217e+01
2.757661e+06,1.155729e+01
2.810862e+06,1.170005e+01
2.943151e+06,1.163292e+01
2.998423e+06,1.164640e+01
3.118325e+06,1.161023e+01
3.230402e+06,1.175454e+01
3.279316e+06,1.168784e+01
3.458158e+06,1.180632e+01
3.573386e+06,1.195565e+01
3.679355e+06,1.191787e+01
3.790027e+06,1.195982e+01
3.915983e+06,1.197644e+01
4.020697e+06,1.197300e+01
4.180690e+06,1.199242e+01
4.305752e+06,1.200305e+01
4.474388e+06,1.214301e+01
4.563438e+06,1.198428e+01
4.778685e+06,1.226276e+01
4.930688e+06,1.216650e+01
5.078094e+06,1.211979e+01
5.229259e+06,1.217292e+01
5.452293e+06,1.219538e+01
5.511624e+06,1.228649e+01
5.809869e+06,1.225278e+01
5.987448e+06,1.246143e+01
6.185812e+06,1.230734e+01
6.394422e+06,1.219667e+01
6.537987e+06,1.236642e+01
6.777680e+06,1.227855e+01
7.060284e+06,1.250799e+01
7.276853e+06,1.264328e+01
7.498799e+06,1.263347e+01
7.616741e+06,1.245744e+01
8.023259e+06,1.256418e+01
8.336471e+06,1.284584e+01
8.596050e+06,1.273589e+01
8.811210e+06,1.272944e+01
8.943709e+06,1.284511e+01
9.461844e+06,1.303495e+01
9.669348e+06,1.294489e+01
9.758714e+06,1.284245e+01
